ID,YEAR_BIRTH,AGE,EDUCATION,MARITAL_STATUS,INCOME,TOTAL_CHILDREN,TOTAL_SPENT,TOTAL_PURCHASES,WEB_VISITS,RECENCY,CAMPAIGN_RESPONSE,DT_CUSTOMER
10755,1976,49,2N CYCLE,MARRIED,23718.0,1,81,9,7,76,0,2013-09-02
8595,1973,52,GRADUATION,WIDOW,42429.0,1,67,7,5,99,0,2014-02-11
2968,1943,82,PHD,DIVORCED,48948.0,0,902,24,6,53,1,2013-02-01
8601,1980,45,GRADUATION,MARRIED,80011.0,1,1395,21,4,3,0,2013-04-29
503,1985,40,MASTER,MARRIED,20559.0,1,53,7,8,88,0,2013-03-12
8430,1957,68,GRADUATION,TOGETHER,21994.0,1,22,4,5,4,0,2012-12-24
7281,1959,66,PHD,SINGLE,0.0,0,186,9,2,80,0,2013-11-05
2139,1975,50,MASTER,MARRIED,7500.0,1,31,8,5,19,0,2013-10-02
1371,1976,49,GRADUATION,SINGLE,79941.0,0,984,16,1,72,0,2014-06-28
9909,1996,29,2N CYCLE,MARRIED,7500.0,0,122,10,9,24,1,2012-11-09
7286,1968,57,GRADUATION,TOGETHER,41728.0,1,55,5,10,92,0,2013-05-24
7244,1951,74,GRADUATION,SINGLE,0.0,3,124,10,6,96,0,2014-01-01
6566,1954,71,PHD,MARRIED,72550.0,2,1319,28,8,39,0,2012-11-08
8614,1957,68,GRADUATION,WIDOW,65486.0,1,507,17,2,29,0,2014-05-12
4114,1964,61,MASTER,MARRIED,79143.0,0,1693,29,3,2,0,2012-08-11
1331,1977,48,GRADUATION,SINGLE,35790.0,1,72,7,7,54,0,2013-01-02
2225,1977,48,GRADUATION,DIVORCED,82582.0,0,1617,21,1,54,1,2014-06-07
9381,1978,47,GRADUATION,MARRIED,66373.0,2,606,23,3,57,0,2013-06-12
6260,1955,70,MASTER,TOGETHER,82384.0,0,1957,27,1,55,1,2012-11-19
10383,1966,59,GRADUATION,DIVORCED,70287.0,0,1093,21,3,30,1,2013-04-02
7437,1988,37,GRADUATION,SINGLE,27938.0,1,29,6,3,31,0,2014-04-28
8557,1982,43,GRADUATION,SINGLE,0.0,1,46,7,6,57,0,2013-06-17
8375,1968,57,PHD,MARRIED,55954.0,1,518,19,7,63,0,2014-03-03
6853,1982,43,MASTER,SINGLE,75777.0,0,1438,21,1,12,1,2013-07-04
3076,1975,50,GRADUATION,TOGETHER,66653.0,2,612,22,3,18,0,2012-09-07
1012,1952,73,GRADUATION,SINGLE,61823.0,1,884,24,7,26,0,2013-02-18
6518,1951,74,PHD,WIDOW,67680.0,1,606,19,5,8,0,2013-06-11
4137,1948,77,GRADUATION,TOGETHER,70666.0,0,1076,16,4,29,0,2013-12-06
8082,1971,54,GRADUATION,MARRIED,25721.0,1,34,5,7,75,1,2013-05-21
1386,1967,58,GRADUATION,TOGETHER,32474.0,2,11,4,7,0,0,2014-05-11
9369,1979,46,2N CYCLE,SINGLE,88194.0,1,1274,32,5,19,1,2014-03-19
4477,1958,67,GRADUATION,TOGETHER,69096.0,1,653,18,4,4,0,2013-09-27
1357,1970,55,GRADUATION,TOGETHER,74854.0,3,1562,19,5,90,0,2013-04-08
1402,1954,71,MASTER,MARRIED,66991.0,0,1253,21,3,1,0,2012-09-11
10629,1973,52,2N CYCLE,MARRIED,0.0,1,109,9,8,25,0,2012-09-14
6312,1959,66,GRADUATION,MARRIED,65031.0,1,863,30,7,29,0,2013-03-17
8132,1975,50,PHD,MARRIED,60631.0,2,661,24,7,88,0,2013-04-05
1050,1952,73,GRADUATION,MARRIED,28332.0,0,65,8,2,58,0,2014-04-30
5846,1977,48,GRADUATION,DIVORCED,40246.0,1,13,4,6,68,0,2012-12-19
1859,1972,53,MASTER,MARRIED,75251.0,0,1890,19,5,34,1,2012-08-27
7503,1976,49,GRADUATION,SINGLE,75825.0,0,2209,22,4,40,1,2012-10-12
10401,1976,49,2N CYCLE,TOGETHER,26326.0,0,18,4,3,12,0,2013-09-04
1618,1965,60,GRADUATION,TOGETHER,56046.0,0,692,21,8,9,1,2013-01-02
3332,1985,40,GRADUATION,SINGLE,29760.0,1,165,12,8,87,0,2012-08-29
2261,1969,56,GRADUATION,MARRIED,26304.0,1,16,4,7,5,0,2013-06-23
5346,1973,52,2N CYCLE,MARRIED,23559.0,1,79,9,7,87,0,2013-07-03
4119,1963,62,MASTER,TOGETHER,38620.0,0,318,11,3,56,0,2013-05-11
535,1987,38,GRADUATION,DIVORCED,81361.0,0,778,27,1,18,0,2014-02-25
5268,1960,65,GRADUATION,MARRIED,29440.0,2,56,7,7,95,0,2013-08-11
273,1970,55,MASTER,MARRIED,36138.0,2,151,13,7,48,0,2013-07-16
4452,1957,68,GRADUATION,SINGLE,50388.0,1,372,17,7,3,1,2014-05-28
8504,1973,52,GRADUATION,MARRIED,79593.0,0,1366,19,2,70,0,2014-05-12
771,1967,58,GRADUATION,TOGETHER,54178.0,1,194,10,2,79,0,2014-01-21
8996,1957,68,PHD,MARRIED,0.0,3,603,29,9,4,0,2012-11-19
9235,1957,68,GRADUATION,SINGLE,0.0,2,18,4,7,45,0,2014-05-27
5798,1973,52,MASTER,TOGETHER,0.0,0,985,15,1,87,0,2013-11-23
11178,1972,53,MASTER,SINGLE,42394.0,1,32,5,7,69,0,2014-03-23
2230,1970,55,PHD,MARRIED,23626.0,1,43,10,5,84,0,2014-05-24
7516,1983,42,GRADUATION,MARRIED,30096.0,1,45,6,6,30,0,2014-05-22
7247,1960,65,GRADUATION,WIDOW,47916.0,1,606,22,6,72,0,2012-11-22
11100,1972,53,GRADUATION,DIVORCED,51813.0,2,63,7,7,37,0,2013-04-11
4646,1951,74,2N CYCLE,MARRIED,78497.0,0,978,25,2,44,0,2013-12-01
3037,1983,42,PHD,MARRIED,50150.0,0,410,16,5,32,0,2013-06-20
1473,1960,65,2N CYCLE,SINGLE,47823.0,1,72,7,8,0,0,2013-07-23
1016,1959,66,PHD,SINGLE,34554.0,1,55,7,6,43,0,2014-03-30
4518,1979,46,GRADUATION,TOGETHER,85693.0,1,1169,27,5,59,0,2013-04-20
9370,1945,80,PHD,MARRIED,65846.0,0,1120,16,4,68,0,2013-05-17
8908,1959,66,GRADUATION,MARRIED,87195.0,0,1097,20,1,35,1,2014-05-08
8373,1979,46,BASIC,TOGETHER,24594.0,1,29,5,5,94,0,2013-12-10
7533,1964,61,GRADUATION,MARRIED,49096.0,2,187,13,7,15,0,2013-09-24
2683,1969,56,GRADUATION,MARRIED,52413.0,2,910,26,6,56,0,2013-02-02
3629,1978,47,GRADUATION,SINGLE,38557.0,1,145,9,7,17,0,2012-12-19
10991,1960,65,MASTER,MARRIED,89058.0,0,850,14,2,18,0,2012-12-07
5077,1979,46,GRADUATION,TOGETHER,77298.0,1,969,24,3,46,0,2013-11-02
7431,1991,34,PHD,SINGLE,68126.0,0,1820,17,9,40,1,2012-11-10
3267,1963,62,MASTER,TOGETHER,57288.0,1,608,20,6,27,0,2014-06-25
999,1991,34,GRADUATION,SINGLE,86037.0,0,730,25,3,95,1,2013-01-02
9215,1980,45,PHD,MARRIED,43974.0,1,551,21,7,19,0,2012-12-12
2286,1962,63,GRADUATION,SINGLE,50785.0,2,114,8,6,27,0,2013-09-10
1592,1970,55,GRADUATION,MARRIED,90765.0,0,1724,15,1,25,0,2014-01-24
367,1978,47,2N CYCLE,MARRIED,36550.0,1,577,20,9,74,0,2013-02-19
5234,1967,58,2N CYCLE,TOGETHER,30753.0,2,81,7,5,85,0,2013-07-11
9862,1969,56,GRADUATION,TOGETHER,21918.0,1,33,7,6,37,0,2013-11-14
9805,1953,72,MASTER,TOGETHER,56129.0,1,660,22,4,65,0,2013-06-20
6205,1967,58,MASTER,SINGLE,32557.0,1,80,9,5,13,1,2014-02-24
8442,1985,40,MASTER,MARRIED,19510.0,2,30,6,7,63,0,2013-09-04
7386,1976,49,GRADUATION,DIVORCED,30992.0,1,43,5,7,83,0,2013-04-22
7215,1983,42,GRADUATION,SINGLE,101970.0,0,1135,27,2,69,1,2013-03-12
1491,1965,60,2N CYCLE,TOGETHER,71488.0,0,559,16,1,87,0,2013-02-18
11071,1984,41,GRADUATION,SINGLE,79607.0,0,1923,16,1,37,1,2013-04-21
3381,1953,72,MASTER,MARRIED,54348.0,2,90,8,6,51,0,2014-06-08
8268,1961,64,PHD,MARRIED,0.0,1,404,17,6,23,0,2013-07-11
11051,1956,69,PHD,TOGETHER,77376.0,2,661,23,4,72,0,2014-05-10
8026,1952,73,GRADUATION,MARRIED,62998.0,1,463,19,5,10,0,2013-09-30
433,1958,67,MASTER,ALONE,61331.0,2,632,23,8,42,0,2013-03-10
9597,1969,56,GRADUATION,MARRIED,73448.0,0,725,19,4,10,0,2014-02-10
1295,1963,62,GRADUATION,MARRIED,0.0,1,725,19,4,96,0,2013-08-11
5290,1964,61,PHD,MARRIED,41551.0,2,279,16,8,51,0,2013-08-14
1685,1967,58,PHD,TOGETHER,62981.0,0,1482,23,3,21,0,2013-03-17
5342,1976,49,BASIC,DIVORCED,9548.0,1,29,6,8,31,0,2012-08-08
9579,1959,66,PHD,MARRIED,33762.0,3,106,9,8,61,0,2013-07-07
7660,1973,52,PHD,ALONE,35860.0,2,49,6,5,37,1,2014-05-19
1461,1965,60,PHD,DIVORCED,36921.0,2,38,7,7,74,0,2013-07-28
821,1992,33,MASTER,SINGLE,92859.0,0,2077,22,2,46,0,2012-10-19
11084,1976,49,MASTER,TOGETHER,65104.0,1,1053,17,7,4,1,2013-11-14
8690,1962,63,GRADUATION,MARRIED,86111.0,0,1385,23,2,73,0,2013-04-19
2937,1974,51,PHD,SINGLE,68352.0,1,871,25,6,47,0,2013-08-28
9701,1988,37,GRADUATION,TOGETHER,41883.0,1,312,12,7,13,0,2013-03-19
9949,1976,49,GRADUATION,MARRIED,59809.0,2,877,15,8,36,0,2012-10-18
10837,1975,50,GRADUATION,MARRIED,23957.0,1,68,6,6,47,1,2012-10-28
3120,1981,44,GRADUATION,TOGETHER,38547.0,1,22,4,8,49,0,2013-08-28
5885,1973,52,2N CYCLE,MARRIED,35688.0,3,211,16,8,94,0,2012-08-22
4050,1966,59,MASTER,MARRIED,49605.0,0,127,8,3,65,0,2014-06-21
3830,1953,72,MASTER,MARRIED,59354.0,2,459,16,3,59,0,2014-04-24
7987,1969,56,GRADUATION,MARRIED,65747.0,1,460,19,6,96,0,2014-03-07
7798,1972,53,2N CYCLE,TOGETHER,46344.0,1,429,17,7,28,0,2012-12-14
92,1988,37,GRADUATION,ALONE,34176.0,1,89,11,6,12,0,2014-05-12
7055,1952,73,PHD,TOGETHER,61010.0,1,1021,26,5,57,0,2012-10-09
10240,1949,76,GRADUATION,TOGETHER,69372.0,0,1381,21,4,10,1,2013-02-19
3025,1958,67,GRADUATION,SINGLE,49967.0,1,306,15,7,4,0,2013-07-08
9283,1978,47,GRADUATION,SINGLE,60199.0,3,18,4,4,49,0,2013-09-12
9970,1977,48,GRADUATION,TOGETHER,55375.0,1,162,9,2,3,0,2013-10-17
2730,1955,70,GRADUATION,SINGLE,80317.0,0,1231,18,1,64,0,2013-08-20
2795,1958,67,MASTER,SINGLE,30523.0,3,13,4,7,0,0,2013-07-01
9260,1945,80,PHD,MARRIED,70356.0,0,1706,27,6,20,0,2012-11-05
8182,1984,41,GRADUATION,MARRIED,23228.0,1,121,11,8,91,0,2014-01-05
10095,1975,50,PHD,DIVORCED,74165.0,0,1293,20,2,9,0,2013-05-01
8475,1973,52,PHD,MARRIED,157243.0,1,1608,37,0,98,0,2014-03-01
4370,1966,59,GRADUATION,TOGETHER,43482.0,3,88,9,6,83,0,2013-11-13
10573,1953,72,GRADUATION,DIVORCED,62551.0,0,421,18,3,27,0,2013-11-18
3712,1959,66,GRADUATION,DIVORCED,52332.0,0,259,12,4,63,0,2013-08-28
6637,1988,37,GRADUATION,SINGLE,66951.0,0,1117,15,1,46,0,2013-11-02
3152,1957,68,GRADUATION,TOGETHER,26091.0,2,89,9,5,84,0,2014-02-25
5610,1965,60,GRADUATION,TOGETHER,33456.0,2,36,6,7,58,0,2014-04-21
6460,1982,43,GRADUATION,MARRIED,28718.0,1,57,7,8,78,0,2013-07-13
1349,1970,55,GRADUATION,MARRIED,50447.0,2,148,8,6,4,0,2014-04-21
1880,1959,66,PHD,TOGETHER,53537.0,2,93,8,5,17,0,2014-01-30
641,1967,58,GRADUATION,SINGLE,52074.0,1,119,7,4,77,0,2014-04-04
8717,1975,50,PHD,MARRIED,80427.0,1,1835,28,5,56,0,2012-09-12
10314,1948,77,PHD,MARRIED,83837.0,0,1318,25,4,79,1,2012-12-16
10854,1970,55,PHD,MARRIED,38853.0,2,45,7,7,90,0,2014-05-23
10492,1959,66,GRADUATION,TOGETHER,38285.0,3,10,4,2,96,0,2014-06-24
6935,1951,74,2N CYCLE,MARRIED,78497.0,0,978,25,2,44,0,2013-12-01
7698,1976,49,PHD,MARRIED,51650.0,1,191,10,5,81,0,2014-05-11
3559,1988,37,2N CYCLE,MARRIED,16248.0,1,57,9,6,77,0,2014-05-10
10562,1946,79,MASTER,MARRIED,66835.0,0,1033,24,2,21,0,2013-09-28
10796,1984,41,MASTER,MARRIED,30477.0,1,66,6,6,16,0,2014-01-22
2563,1961,64,BASIC,MARRIED,28249.0,0,43,6,6,80,0,2014-06-15
3518,1983,42,GRADUATION,MARRIED,25271.0,1,50,5,9,45,0,2012-12-05
5823,1970,55,PHD,SINGLE,32303.0,1,39,7,5,63,0,2014-03-08
3934,1966,59,GRADUATION,MARRIED,61286.0,1,608,18,5,34,0,2013-08-02
6982,1976,49,GRADUATION,MARRIED,74068.0,0,1581,24,2,14,0,2013-03-19
6431,1964,61,PHD,MARRIED,45759.0,2,68,7,7,13,0,2013-02-23
9733,1978,47,BASIC,TOGETHER,24882.0,1,80,5,6,52,0,2012-09-09
5602,1989,36,PHD,TOGETHER,66973.0,0,1282,28,3,98,0,2013-05-17
7829,1900,125,2N CYCLE,DIVORCED,36640.0,1,65,6,5,99,0,2013-09-26
1324,1988,37,GRADUATION,MARRIED,38872.0,1,91,8,8,93,0,2013-05-30
326,1973,52,GRADUATION,MARRIED,51148.0,2,315,16,6,38,0,2013-02-18
7224,1977,48,GRADUATION,MARRIED,31353.0,2,31,6,8,24,0,2013-12-29
6999,1980,45,MASTER,MARRIED,69661.0,0,834,23,3,80,0,2014-05-13
9938,1954,71,GRADUATION,MARRIED,80067.0,0,1600,17,2,82,0,2013-09-19
6422,1954,71,GRADUATION,MARRIED,86718.0,0,1270,17,2,20,0,2013-01-17
3182,1973,52,PHD,SINGLE,46854.0,2,263,15,8,81,1,2014-03-31
7300,1952,73,GRADUATION,DIVORCED,69142.0,1,535,19,5,50,0,2014-06-29
10424,1968,57,GRADUATION,SINGLE,75922.0,0,1295,18,1,60,0,2013-12-09
8727,1978,47,GRADUATION,DIVORCED,63693.0,1,1150,29,6,63,0,2013-10-14
2798,1977,48,PHD,TOGETHER,102160.0,0,1240,26,4,54,1,2012-11-02
1030,1965,60,PHD,SINGLE,40637.0,2,38,6,7,72,0,2013-07-17
624,1984,41,MASTER,SINGLE,18890.0,0,35,4,6,5,1,2012-11-10
5176,1988,37,GRADUATION,TOGETHER,29604.0,1,53,5,9,88,0,2013-12-08
5552,1963,62,MASTER,DIVORCED,48721.0,2,293,17,6,50,0,2013-05-13
868,1966,59,GRADUATION,MARRIED,44794.0,1,65,6,6,99,0,2014-06-08
380,1954,71,GRADUATION,DIVORCED,64497.0,1,1804,29,8,17,1,2012-09-10
2677,1956,69,GRADUATION,TOGETHER,46097.0,1,241,15,4,11,0,2013-03-31
6521,1954,71,GRADUATION,TOGETHER,77972.0,0,1101,20,1,18,0,2014-03-18
6927,1968,57,PHD,MARRIED,44377.0,2,264,19,8,70,0,2012-10-05
2877,1974,51,MASTER,TOGETHER,46014.0,2,541,26,7,21,0,2013-01-21
0,1985,40,GRADUATION,MARRIED,70951.0,0,1198,17,1,66,0,2013-05-04
1584,1977,48,GRADUATION,MARRIED,41443.0,1,482,20,8,79,0,2014-04-01
7264,1978,47,2N CYCLE,SINGLE,52195.0,3,17,4,8,2,0,2014-05-12
6274,1948,77,MASTER,MARRIED,83790.0,0,1615,25,3,81,0,2013-11-15
1377,1954,71,MASTER,WIDOW,44551.0,1,285,12,7,24,0,2013-08-31
454,1980,45,GRADUATION,TOGETHER,69508.0,1,1135,28,6,48,0,2012-11-14
1755,1988,37,2N CYCLE,TOGETHER,45204.0,1,114,7,3,93,0,2014-04-11
2075,1969,56,GRADUATION,MARRIED,72460.0,0,1047,16,1,56,0,2013-11-14
4785,1970,55,PHD,TOGETHER,77622.0,2,714,22,3,3,0,2014-04-14
9076,1980,45,PHD,MARRIED,30732.0,1,185,13,8,44,0,2013-01-05
7079,1962,63,GRADUATION,DIVORCED,63887.0,1,1245,32,6,38,0,2012-09-08
4653,1978,47,GRADUATION,TOGETHER,42011.0,1,189,12,8,46,0,2013-03-26
7375,1976,49,GRADUATION,TOGETHER,51369.0,1,576,16,8,84,0,2012-10-25
709,1952,73,GRADUATION,DIVORCED,51537.0,1,1103,18,8,27,0,2012-12-09
460,1972,53,PHD,MARRIED,79930.0,0,1753,17,2,72,0,2012-08-08
3726,1986,39,PHD,TOGETHER,34320.0,1,17,4,8,66,0,2014-02-16
6798,1966,59,GRADUATION,SINGLE,37070.0,2,433,23,7,30,1,2013-03-20
5341,1962,63,2N CYCLE,DIVORCED,81975.0,1,1588,14,7,2,0,2013-01-05
1606,1971,54,GRADUATION,TOGETHER,38590.0,1,22,4,8,65,0,2013-05-15
9617,1951,74,GRADUATION,SINGLE,15033.0,0,19,5,3,37,0,2014-04-16
3233,1965,60,PHD,MARRIED,62745.0,1,1117,29,5,89,0,2013-03-23
89,1975,50,2N CYCLE,MARRIED,22212.0,1,69,8,6,49,0,2013-12-09
2936,1982,43,MASTER,TOGETHER,23661.0,1,23,5,7,46,0,2013-12-04
9449,1958,67,PHD,SINGLE,79761.0,1,605,19,3,32,0,2013-10-04
7297,1973,52,GRADUATION,SINGLE,7500.0,1,57,11,7,54,0,2013-12-26
11004,1893,132,2N CYCLE,SINGLE,60182.0,1,22,4,4,23,0,2014-05-17
313,1968,57,GRADUATION,WIDOW,73455.0,0,2088,22,3,98,0,2013-10-28
9940,1958,67,GRADUATION,TOGETHER,64961.0,1,1009,16,3,97,0,2012-12-23
10735,1971,54,GRADUATION,SINGLE,22804.0,1,26,5,9,75,0,2013-07-31
9529,1990,35,GRADUATION,MARRIED,73687.0,0,1627,22,2,8,1,2013-11-28
6439,1958,67,GRADUATION,MARRIED,61074.0,1,1102,31,7,37,0,2012-08-17
7411,1964,61,PHD,MARRIED,31686.0,2,17,6,6,31,0,2014-06-05
2176,1972,53,GRADUATION,MARRIED,80134.0,1,1690,16,6,40,1,2013-05-20
9265,1953,72,GRADUATION,MARRIED,75027.0,1,1390,21,5,74,0,2013-01-09
8867,1988,37,PHD,MARRIED,67546.0,0,2126,20,3,90,0,2012-08-31
8932,1969,56,MASTER,TOGETHER,65176.0,1,1531,25,6,57,0,2012-10-29
10236,1975,50,MASTER,SINGLE,31160.0,1,64,7,8,59,0,2013-09-16
6340,1985,40,GRADUATION,SINGLE,29938.0,1,26,6,6,52,0,2013-10-27
10089,1974,51,GRADUATION,DIVORCED,102692.0,0,1112,29,2,5,1,2013-04-05
2227,1958,67,2N CYCLE,TOGETHER,26490.0,0,210,11,6,92,0,2012-09-22
10992,1967,58,GRADUATION,TOGETHER,75702.0,2,1148,26,8,77,0,2012-08-29
5304,1974,51,PHD,SINGLE,30899.0,1,33,6,6,35,0,2012-10-13
309,1961,64,PHD,TOGETHER,63342.0,1,1101,19,6,48,0,2012-10-16
3406,1964,61,GRADUATION,SINGLE,45989.0,1,322,16,3,97,0,2012-10-22
2661,1964,61,GRADUATION,SINGLE,18701.0,2,44,10,5,95,0,2013-06-04
3153,1957,68,PHD,SINGLE,40737.0,3,17,4,8,24,0,2013-12-08
10264,1979,46,GRADUATION,DIVORCED,15287.0,1,31,6,7,60,1,2012-10-10
1184,1968,57,PHD,DIVORCED,69674.0,2,845,25,5,46,0,2013-05-22
4200,1970,55,MASTER,MARRIED,44159.0,1,275,15,5,85,0,2014-06-17
9396,1978,47,PHD,MARRIED,37717.0,1,25,4,9,31,0,2012-11-23
2387,1952,73,MASTER,TOGETHER,43776.0,2,275,17,8,9,1,2013-02-03
6690,1966,59,MASTER,MARRIED,38179.0,2,90,11,7,30,0,2013-03-14
1225,1963,62,GRADUATION,MARRIED,80124.0,0,1495,19,1,47,0,2014-06-26
9703,1970,55,PHD,MARRIED,38097.0,2,184,11,7,70,1,2012-10-15
291,1970,55,GRADUATION,MARRIED,72940.0,0,981,13,1,13,0,2013-06-19
4557,1970,55,GRADUATION,TOGETHER,22070.0,1,67,8,6,11,0,2013-10-04
2379,1953,72,GRADUATION,SINGLE,69267.0,0,1635,14,7,31,1,2012-09-22
5726,1983,42,MASTER,SINGLE,31788.0,1,60,10,5,15,0,2014-03-20
3066,1975,50,PHD,TOGETHER,61905.0,1,231,12,5,2,0,2014-02-04
6336,1960,65,GRADUATION,MARRIED,29315.0,2,48,10,6,55,0,2014-04-06
10967,1963,62,GRADUATION,DIVORCED,33378.0,2,99,9,7,38,0,2013-02-06
2304,1963,62,PHD,TOGETHER,66313.0,1,770,23,4,86,0,2013-09-16
3445,1956,69,GRADUATION,SINGLE,60714.0,0,957,23,5,56,1,2013-01-17
7828,1981,44,MASTER,TOGETHER,77882.0,0,818,12,1,29,0,2014-04-30
3762,1986,39,PHD,SINGLE,69867.0,0,925,17,1,30,1,2013-04-02
4391,1968,57,MASTER,DIVORCED,63841.0,1,908,22,6,64,0,2013-04-21
4669,1981,44,BASIC,MARRIED,24480.0,1,102,10,7,46,0,2013-02-11
10144,1976,49,GRADUATION,TOGETHER,51369.0,1,576,16,8,84,0,2012-10-25
8652,1946,79,GRADUATION,TOGETHER,37760.0,0,317,13,7,20,0,2012-08-31
1672,1974,51,PHD,TOGETHER,65640.0,1,461,15,2,74,0,2014-03-01
8962,1975,50,MASTER,MARRIED,44319.0,2,37,7,5,18,0,2014-04-17
9974,1974,51,GRADUATION,MARRIED,30631.0,1,70,7,7,75,0,2013-07-12
10983,1952,73,GRADUATION,TOGETHER,75278.0,0,930,23,3,17,0,2013-01-29
8148,1956,69,MASTER,TOGETHER,50898.0,2,859,33,5,88,0,2013-01-08
10102,1966,59,GRADUATION,WIDOW,79946.0,0,1478,22,3,19,0,2014-05-12
4697,1949,76,MASTER,DIVORCED,35416.0,0,390,16,8,62,0,2013-06-13
9262,1984,41,2N CYCLE,TOGETHER,32414.0,0,52,5,7,11,0,2013-07-04
7254,1969,56,GRADUATION,TOGETHER,38361.0,1,137,10,7,74,0,2013-12-27
4543,1980,45,GRADUATION,MARRIED,82497.0,0,1919,19,4,32,0,2012-10-31
4927,1971,54,GRADUATION,TOGETHER,16626.0,2,68,9,9,76,0,2014-01-15
10451,1965,60,GRADUATION,TOGETHER,29672.0,2,25,4,6,6,0,2013-03-12
2926,1952,73,MASTER,TOGETHER,55951.0,1,1374,23,8,62,0,2012-08-23
2874,1988,37,2N CYCLE,DIVORCED,35388.0,1,32,5,7,20,0,2013-03-07
9738,1986,39,MASTER,TOGETHER,42386.0,1,100,7,8,43,0,2013-01-13
7119,1982,43,GRADUATION,SINGLE,68627.0,0,825,12,1,45,0,2013-01-12
3924,1965,60,PHD,DIVORCED,57912.0,1,916,28,5,34,0,2014-03-17
5827,1958,67,GRADUATION,DIVORCED,35246.0,2,62,11,5,53,0,2014-04-16
5596,1956,69,2N CYCLE,TOGETHER,58821.0,1,728,21,6,44,0,2013-10-12
10812,1978,47,PHD,MARRIED,46377.0,1,90,7,4,89,0,2014-03-01
1717,1988,37,GRADUATION,SINGLE,39747.0,1,273,13,8,43,0,2014-04-13
9491,1984,41,GRADUATION,TOGETHER,23976.0,1,66,10,7,68,0,2013-12-27
9274,1961,64,MASTER,MARRIED,80950.0,0,1213,23,2,44,0,2013-03-28
6609,1966,59,GRADUATION,WIDOW,27038.0,0,107,7,9,64,1,2012-09-18
6963,1947,78,GRADUATION,SINGLE,77457.0,0,1157,18,1,85,0,2014-03-05
